author,title,year,source_title,doi,link,abstract,author_keywords,index_keywords,document_type,source,site,Latitude,Longitude,avg_depth,site_type,country,emission_type,area,target_cat,env_target,bio_target,bio_group,bio_species,bio_response
Aiello G.,"New sedimentological and coastal and marine geological data on the Quaternary marine deposits of the Ischia Island (Gulf of Naples, Southern Tyrrhenian Sea, Italy)",2020,Geo-Marine Letters,10.1007/s00367-020-00652-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084527558&doi=10.1007%2fs00367-020-00652-w&partnerID=40&md5=6fa10617920c0f1dcb32e7c2419d9179,"Quaternary marine deposits of the Ischia Island have been analyzed based on marine geological survey and sedimentological data. The Ischia Island represents the emerged part of a large volcanic field, extending from the Procida island to the submerged volcanoes of the western Ischia offshore. The volcanic field develops over an area of about 42 km2, E-W trending, composed of calderas, such as the Ischia caldera, linked to the great explosive eruptions, plinian and ignimbritic (“Sintema del Rifugio di S. Nicola”). The grain-size analyses of sea bottom samples have shown that gravelly sands, sands, silty sands, muddy sands, sandy silts, and silts all occur. The comparison of the obtained results with previous sedimentological data collected in the Ischia offshore, coupled with the construction of marine geological maps at the 1:10,000 scale, has shown that sands seem to prevail in the eastern Ischia offshore, while gravelly sands, mainly bioclastic, are located at the top of relict volcanic edifices, such as the Forio Bank (western Ischia offshore) and the Ischia Bank (south-eastern Ischia offshore). Moreover, the obtained data show that rhodolith beds occur on the relict volcanic edifice of the Ischia Bank, on the related parasitic vent, and in the Ischia Channel, a morphological saddle located between the Ischia and Procida islands. © 2020, Springer-Verlag GmbH Germany, part of Springer Nature.",NA,Buildings; Deposits; Geology; Offshore oil well production; Silt; Volcanoes; Explosive eruption; Geological data; Geological map; Grain size analysis; Marine deposits; Sedimentological data; Southern Tyrrhenian Sea; Volcanic edifice; Sand; coastal zone; geological survey; marine sediment; Quaternary; seafloor; sedimentology; volcanic eruption; Campania [Italy]; Gulf of Naples; Ischia; Italy; Mediterranean Sea; Napoli [Campania]; Tyrrhenian Sea,Article,Scopus,Ischia,40.7306,13.95,3,Hydrothermal Vents,Italy,CO2,Neapolitan,environmental,,,,,
Aiello G.,New insights on the late Quaternary geologic evolution of the Ischia Island coastal belt based on high-resolution seismic profiles,2018,Italian Journal of Geosciences,10.3301/IJG.2017.19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044725450&doi=10.3301%2fIJG.2017.19&partnerID=40&md5=fd72734f29c871bd6141fa82e9fa3623,"The study of the seismo-stratigraphic architecture of late Quaternary-Holocene volcanic and sedimentary units in the Ischia Island offshore and their correlation with the coastal units of the adjacent onshore sectors allowed for a detailed reconstruction of the seismic stratigraphy of the northern, southern and western sectors of the island. Five (southern Ischia) to nine (western Ischia) seismic units and related seismic facies were identified. The volcanic areas and their detailed seismo-stratigraphic setting fit well in the geological context of a passive margin and confirm that the stratal architecture in the Ischia Island Quaternary marine deposits is controlled by the interaction between glacio-eustatic fluctuations, volcanism, tectonics and sedimentary supply. © 2018 Società Geologica Italiana, Roma.",Beaches; Ischia Island; Naples Bay; Sea cliffs; Seismic interpretation,beach; cliff; correlation; data interpretation; facies; geological survey; passive margin; Quaternary; seismic property; seismic reflection; seismic stratigraphy; Campania [Italy]; Gulf of Naples; Ischia; Italy; Mediterranean Sea; Napoli [Campania]; Tyrrhenian Sea,Article,Scopus,Ischia,40.7306,13.95,3,Hydrothermal Vents,Italy,CO2,Neapolitan,environmental,,,,,
Aiello G. and Insinga D.D. and Iorio M. and Meo A. and Senatore M.R.,On the occurrence of the Neapolitan Yellow Tuff tephra in the Northern Phlegraean Fields offshore (Eastern Tyrrhenian margin; Italy),2017,Italian Journal of Geosciences,10.3301/IJG.2017.06,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019739629&doi=10.3301%2fIJG.2017.06&partnerID=40&md5=05dcc3fceb68698582a2a828f597e73b,"A main volcanic marker has been identified for the first time on the continental shelf of the northern Phlegraean Fields in the Gulf of Gaeta (Campania region, eastern Tyrrhenian margin, Italy) by means of Subbottom Chirp profile grid and stratigraphic analysis of a core collected on the slope. In the seismic sections, the core bottom corresponds to the top of a continuous and parallel reflector (V) interbedded within the transgressive deposits of the Late Quaternary-Holocene depositional sequence. The Transgressive System Tract deposits are particularly thick compared to the majority of the transgressive deposits of other shelf settings. This might be due to the input of pyroclastic and volcaniclastic deposits related to the intense eruptive activity of the Campania Plain during the Late Pleistocene-Holocene time span. Undulations and pockmarks are the main morphological features of the sea floor and they might be linked to gas uprising, widely detected in the study area. The V relfector is located on the shelf from northeast to southwest at different depths, ranging from 10 ms (about 8 m) to 30 ms (about 25 m) below sea floor and it can be mapped down to the continental slope. The tephrostratigraphic analysis of this continuous reflector allowed to correlate it with the Neapolitan Yellow Tuff deposits emplaced at Phlegraean Fields at ca. 15 ka. © Società Geologica Italiana, Roma 2017.",Coastal volcanism; Gulf of gaeta; Neapolitan yellow tuff; Phlegraean fields; Seismic stratigraphy,continental shelf; correlation; depositional sequence; pyroclastic deposit; seafloor; tephra; volcanic eruption; volcaniclastic deposit; volcanism; Campania [Italy]; Campania [Italy]; Campi Flegrei; Gulf of Gaeta; Italy; Mediterranean Sea; Napoli [Campania]; Tyrrhenian Sea,Article,Scopus,Phlegrean Fields,40.806288,14.121825,21,Volcanic Area,Italy,,Neapolitan,environmental,,,,,
Aiello G. and Marsella E. and Ruggieri S.,"Three-dimensional magneto-seismic reconstruction of the 'Torre del Greco' submerged volcanic structure (Naples Bay, Southern Tyrrhenian Sea, Italy): Implications for Vesuvius's marine geophysics and volcanology",2010,Near Surface Geophysics,10.3997/1873-0604.2009037,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950121892&doi=10.3997%2f1873-0604.2009037&partnerID=40&md5=83bba93d0c50efacda549e08add29a87,"A three-dimensional reconstruction of a large volcanic structure located offshore the town of Torre del Greco (Naples Bay, Southern Tyrrhenian Sea, Italy) and representing the seaward prolongation of the Vesuvius volcano has been carried out using integrated geological interpretation of existing densely-spaced high-resolution seismic and magnetic profiles. This reconstruction has provided new insights into the knowledge of marine geophysics and volcanology of Vesuvius, one of most studied volcanoes in the world. Seismic stratigraphy of the volcanic structures shows acoustically-transparent seismic faciès and high contrasts of acoustic impedance with respect to the overlying sediments. The structures have mound-shaped external geometry and average dimensions measurable in terms of kilometres. The base of the Torre del Greco volcanic structure overlies the volcanic seismic unit correlated to the 'Campanian Ignimbrite' pyroclastic flow deposits. Consequently, no contrast of acoustic impedance between the two volcanic units is clearly evident on the seismic profiles. The top of the structure is irregular and eroded and shows several culminations. The three-dimensional reconstruction of the Torre del Greco structure has been carried out using seismic constraints and correlations of volcanic structure to bathymetry. The sea floor topography is compared to the top of the Torre del Greco volcanic structure represented by contour depth of corresponding seismic horizons. Proceeding from south-east to north-west there is a good correspondence between the sea floor topographic surface and the top of the volcanic structure, which does not crop out at the sea-bottom. The rising of the volcanic structure in proximity to the sea-bottom corresponds to the occurrence of topographic undulations of up to ten metres. This evidence is confirmed by the interpretation of seismic profiles, showing three main vertical culminations of the volcanic structure, where the overlying sediment drape is significantly reduced. These culminations are linked to magnetic anomaly extremes, having values ranging between 250-350 nT. A striking coincidence between the long-shaped topographic high on the sea floor (towards the east) and the high in the top of the volcanic structure underneath can be explained as a consequence of sea floor deformation due to the underlying volcanic culminations. Smaller volcanic mounds, buried and fossilized by marine sediments, are not related to any magnetic anomaly, probably due to their composition of volcanic tuffs. © 2010 European Association of Geoscientists & Engineers.",NA,crustal deformation; data interpretation; geophysics; magnetic anomaly; magnetic method; pyroclastic deposit; pyroclastic flow; reconstruction; seafloor; seismic method; seismic stratigraphy; three-dimensional modeling; vertical seismic profile; volcanology; Campania [Italy]; Gulf of Naples; Italy; Mediterranean Sea; Napoli [Campania]; Tyrrhenian Sea; Vesuvius,Article,Scopus,Torre del Greco,40.749703,14.376169,100,Volcanic Area,Italy,,Neapolitan,environmental,,,,,
Akhmanov G.G. and Woodside J.M.,Mud volcanic samples in the context of the Mediterranean Ridge mud diapiric belt,1998,Proceedings of the Ocean Drilling Program: Scientific Results,10.2973/odp.proc.sr.160.045.1998,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032469574&doi=10.2973%2fodp.proc.sr.160.045.1998&partnerID=40&md5=598554b653a12462832f9e052a9d6f25,"Mud volcanism on the Mediterranean Ridge has been the object of intensive investigation during Training Through Research (TTR) expeditions in 1993, 1994, and 1995 (Gelendzhik and Professor Logachev cruises). As a result, a large database has been compiled on the lithology of mud volcano deposits exposed on the seafloor. The Ocean Drilling Program (ODP) holes that were drilled during Leg 160 within the Olimpi Area, the most studied mud diapiric area of the Mediterranean Ridge, have allowed us for the first time to look deeper into the mud volcanoes and to analyze some peculiarities of their development since the Pliocene. The composition of buried mud breccias that were recovered during Leg 160 was found to be rather typical of the Olimpi area, as determined from the earlier TTR investigations. Significant differences between buried breccia and mud breccia exposed on the seafloor were not observed. Most of the mud breccia clast types previously described for exposed mud breccia flows of the Olimpi area were found in the ODP samples. No new types were observed in the buried and older mud breccias. Mudstones are prevalent among rock fragments of the mud breccia samples recovered by ODP as well as in exposed Olimpi mud breccia. Micrites, fossiliferous micrites, and packed biomicrites are as widespread among lithoclasts of the limestone group as in the youngest mud breccia flows. The different sandstone fragments observed in the ODP mud breccia samples correspond to the subfeldspathic lithic wackes and lithic arenites previously described from the Olimpi area. The crystalloclasts have all resulted from disintegration of different rock fragments within the mud breccia. The set of crystalloclasts corresponds completely to component compositions of the lithoclasts. The Olimpi mud breccia matrix examined in both Leg 160 samples and TTR samples is similar and mainly composed of smectite and mixed-layered (illite/smectite with prevalent smectite layers) clay minerals (40%-65%), kaolinite (15%-30%), and illite (10%-30%). The lack of significant downhole variation in mud breccia composition suggests that the source formations for the Olimpi mud breccia have not changed since at least the late Pliocene. Comparisons of the compositions of the Olimpi mud breccia (on the basis both of ODP and previous data) with mud breccias from other known diapiric area on the Mediterranean Ridge exhibit some differences. The differences reflect peculiarities of source formation lithology and structural tectonic setting of mud volcanoes in different areas of the Eastern Mediterranean. There are also common features of the Mediterranean mud breccia, which indicate that some common sedimentary series extend through the whole Eastern Mediterranean.",Breccia; Deep-sea sediment; Diapirism; Lithology; Mediterranean ridge; Mediterranean sea; Ocean drilling program,deep-sea sediment; diapirism; mud volcano; Mediterranean Sea,Article,Scopus,Milano,33.731467,22.7779,1952,Mud Volcano,Libya,,Mediterranean Ridge,environmental,,,,,
Akhmanov G.G. and Woodside J.M.,Mud volcanic samples in the context of the Mediterranean Ridge mud diapiric belt,1998,Proceedings of the Ocean Drilling Program: Scientific Results,10.2973/odp.proc.sr.160.045.1998,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032469574&doi=10.2973%2fodp.proc.sr.160.045.1998&partnerID=40&md5=598554b653a12462832f9e052a9d6f25,"Mud volcanism on the Mediterranean Ridge has been the object of intensive investigation during Training Through Research (TTR) expeditions in 1993, 1994, and 1995 (Gelendzhik and Professor Logachev cruises). As a result, a large database has been compiled on the lithology of mud volcano deposits exposed on the seafloor. The Ocean Drilling Program (ODP) holes that were drilled during Leg 160 within the Olimpi Area, the most studied mud diapiric area of the Mediterranean Ridge, have allowed us for the first time to look deeper into the mud volcanoes and to analyze some peculiarities of their development since the Pliocene. The composition of buried mud breccias that were recovered during Leg 160 was found to be rather typical of the Olimpi area, as determined from the earlier TTR investigations. Significant differences between buried breccia and mud breccia exposed on the seafloor were not observed. Most of the mud breccia clast types previously described for exposed mud breccia flows of the Olimpi area were found in the ODP samples. No new types were observed in the buried and older mud breccias. Mudstones are prevalent among rock fragments of the mud breccia samples recovered by ODP as well as in exposed Olimpi mud breccia. Micrites, fossiliferous micrites, and packed biomicrites are as widespread among lithoclasts of the limestone group as in the youngest mud breccia flows. The different sandstone fragments observed in the ODP mud breccia samples correspond to the subfeldspathic lithic wackes and lithic arenites previously described from the Olimpi area. The crystalloclasts have all resulted from disintegration of different rock fragments within the mud breccia. The set of crystalloclasts corresponds completely to component compositions of the lithoclasts. The Olimpi mud breccia matrix examined in both Leg 160 samples and TTR samples is similar and mainly composed of smectite and mixed-layered (illite/smectite with prevalent smectite layers) clay minerals (40%-65%), kaolinite (15%-30%), and illite (10%-30%). The lack of significant downhole variation in mud breccia composition suggests that the source formations for the Olimpi mud breccia have not changed since at least the late Pliocene. Comparisons of the compositions of the Olimpi mud breccia (on the basis both of ODP and previous data) with mud breccias from other known diapiric area on the Mediterranean Ridge exhibit some differences. The differences reflect peculiarities of source formation lithology and structural tectonic setting of mud volcanoes in different areas of the Eastern Mediterranean. There are also common features of the Mediterranean mud breccia, which indicate that some common sedimentary series extend through the whole Eastern Mediterranean.",Breccia; Deep-sea sediment; Diapirism; Lithology; Mediterranean ridge; Mediterranean sea; Ocean drilling program,deep-sea sediment; diapirism; mud volcano; Mediterranean Sea,Article,Scopus,Napoli,33.729087,24.682377,1940,Mud Volcano,Greece,,Olimpi mud field,environmental,,,,,
Albert P.G. and Tomlinson E.L. and Smith V.C. and Di Roberto A. and Todman A. and Rosi M. and Marani M. and Muller W. and Menzies M.A.,"Marine-continental tephra correlations: Volcanic glass geochemistry from the Marsili Basin and the Aeolian Islands, Southern Tyrrhenian Sea, Italy",2012,Journal of Volcanology and Geothermal Research,10.1016/j.jvolgeores.2012.03.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860649693&doi=10.1016%2fj.jvolgeores.2012.03.009&partnerID=40&md5=7557f184c6ca1c1ed2da40c3c1c503cf,"Major, minor and trace element analysis of volcanic glass in proximal and distal (<. 2. mm) tephra deposits underpins tephrochronology. This approach has been tested in the Aeolian Islands and the Tyrrhenian Sea using juvenile clasts in pyroclastic fall and flow deposits. Geochemical data are used to link marine tephras in the Marsili Basin (core TIR2000-C01) to explosive eruptions of (1) Lipari (Monte Pilato; 776. cal. AD); (2) Vulcano; and (3) Campi Flegrei (Soccavo 1; 11,915-12,721. cal. years BP). Whether a polymictic coarse grained volcaniclastic turbidite in the Marsili Basin originated from collapse on Salina remains unresolved because multi-elemental analysis raises doubt about the published correlation to the Pollara region.It is evident that correlation of proximal continental and distal marine tephras, at a high level of confidence, requires a full complement of major, minor and trace element data. In conjunction with considerations of the mineralogy and morphology of juvenile deposits these data help define petrological lineages such that precise provenance can be established. Whilst a precise proximal-distal match must be based on identical major, minor and trace element concentrations it is clear that resurgent activity from a single volcano can produce magmas with identical compositions. In such cases stratigraphic relationships must complement any geochemical study. Occasionally proximal stratigraphies may be unrepresentative of the complete eruptive history because of a lack of exposure due to burial by more recent effusive and explosive activity, or sector collapse which can remove vital stratigraphy particularly on volcanic islands. © 2012 Elsevier B.V.",Aeolian Islands; Glass chemistry; Marsili Basin; Tephra; Trace element,Aeolian Islands; Campi Flegrei; Coarse-grained; Eruptive history; Explosive activity; Explosive eruption; Geochemical data; Glass chemistry; Marsili Basin; Multi-elemental analysis; Sector collapse; Southern Tyrrhenian Sea; Tephra; Tephra deposits; Tephras; Tephrochronology; Trace element analysis; Trace element concentrations; Tyrrhenian Sea; Volcanic glass; Volcanic islands; Volcaniclastics; Crystallography; Deposits; Geochemistry; Glass; Mineralogy; Minerals; Trace elements; Volcanoes; Stratigraphy; concentration (composition); explosive volcanism; geochemistry; tephra; trace element; volcanic eruption; volcanic glass; volcanic island; Italy; Lipari Islands; Marsili Basin; Mediterranean Sea; Messina [Sicily]; Sicily; Tyrrhenian Sea,Article,Scopus,Marsili,39.26,14.378,3180,Volcanic Area,Italy,,Aeolian Arc,environmental,,,,,
Alfieris D. and Voudouris P. and Spry P.G.,"Shallow submarine epithermal Pb-Zn-Cu-Au-Ag-Te mineralization on western Milos Island, Aegean Volcanic Arc, Greece: Mineralogical, geological and geochemical constraints",2013,Ore Geology Reviews,10.1016/j.oregeorev.2013.01.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876336638&doi=10.1016%2fj.oregeorev.2013.01.007&partnerID=40&md5=e26bd564adb4174ecbdab6fff35ec1f9,"Milos Island contains several epithermal deposits (e.g., Profitis Ilias-Chondro Vouno Pb-Zn-Ag-Au-Te-Cu, Triades-Galana-Agathia-Kondaros Pb-Zn-Ag-Bi-W-Mo ± Cu-Au, and Katsimoutis-Kondaros-Vani Pb-Zn-Ag-Mn) of Late Pliocene to Early Pleistocene age. These deposits are hosted in calc-alkaline volcanic rocks emplaced as a result of three successive magma pulses in an emergent volcanic edifice: submarine rhyolitic to rhyodacitic cryptodomes at ca. 2.7. Ma (Profitis Ilias-Chondro Vouno), submarine to subaerial andesite to dacite domes at ca. 2.2 to 1.5. Ma (Triades-Galana-Kondaros-Katsimouti-Vani). Hydrothermal alteration of the volcanic rocks includes advanced argillic- (both hypogene and steam-heated), argillic, phyllic, adularia-sericite and propylitic types. In the northern sector (Triades-Galana-Agathia-Kondaros), initial magma degassing derived from andesitic-dacitic intrusives along NE-SW to E-W trending faults resulted in the development of pre-ore hypogene advanced argillic alteration (dickite, alunite, ± diaspore, pyrophyllite, halite, and pyrite) in a submarine environment. Mineralogical data indicate common features among the Profitis Ilias-Chondro Vouno, Kondaros-Katsimoutis-Vani and Triades-Galana mineralized centers, all of which are characterized by the presence of galena, Fe-poor sphalerite, and chalcopyrite as well as abundant barite, adularia, sericite and, to a lesser extent, calcite, which are typical of intermediate-sulfidation epithermal type deposits. Locally, at Triades-Galana and Kondaros-Agathia, high-sulfidation conditions prevailed as suggested by the presence of coexisting enargite and covellite. The high silver and gold content of the western Milos deposits is derived from Ag-bearing sulfosalts (polybasite, pearceite, pyrargyrite, freibergite) and tellurides. Gold at Profitis Ilias, both as native gold and silver-gold tellurides, is present in base-metal precipitates within multicomponent blebs, which recrystallized to form hessite, petzite, altaite, coloradoite, and native gold. Mineralogical evidence (e.g. microchimney structures, copper sulfides, widespread occurrence of barite, aragonite) suggests that precious metal mineralization in western Milos mineralization formed in a submarine setting. We present information on the surface distribution of Au, Ag, Cu, Pb, Zn, As, Sb, Hg, Mo, Bi, W and Cd at western Milos. Gold is enriched at Profitis Ilias-Chondro Vouno deposits and to a lesser extent at Triades-Galana. Arsenic is absent from the southern sector but shows elevated concentrations together with molybdenum, bismuth and tungsten at the northern sector (Triades-Galana, Vani deposits). The differences in precious and base metal abundances may be related to the depths at which the deposits are exposed, and/or different sources of magma. The metal signatures of the Triades-Galana and Agathia-Kondaros-Katsimouti-Vani (Mo-Bi-W-As-Hg-Ag-Au) occurrences compared to Profitis Ilias (Te-Au-Ag) reflect different sources of magma (dacite-rhyodacite for Profitis Ilias, andesite-dacite for Triades-Galana, and dacite for Kondaros-Katsimoutis). The enrichment of Te, Mo, W, and Bi in the deposits is a strong indication of a direct magmatic contribution of these metals. At western Milos, precious and base-metal vein mineralization was deposited during episodic injection of magmatic volatiles and dilution of the hydrothermal fluids by seawater. The mineralization represents seafloor/sub-seafloor precipitation of sulfides that formed in stockwork zones. Base and precious metal mineralization formed from intermediate- to high-sulfidation state fluids and mostly under boiling conditions as indicated by the widespread occurrence of adularia associated with metallic mineralization. We speculate that the widespread occurrence of boiling and the shallow depth of the precious- and base-metal emplacement prevented the formation of seafloor massive sulfides. © 2013.",Aegean Volcanic Arc; Gold; Submarine epithermal; Tellurides; Western Milos Island,Elevated concentrations; Epithermal; Hydrothermal alterations; Seafloor massive sulfides; Surface distributions; Tellurides; Volcanic arc; Western Milos Island; Barite; Bismuth; Deposits; Economic geology; Feldspar; Gold; Kaolinite; Lead; Mercury (metal); Metals; Mineralogy; Molybdenum; Molybdenum deposits; Phase transitions; Seawater; Silver; Silver alloys; Silver deposits; Submarines; Sulfide minerals; Tellurium compounds; Tungsten; Tungsten deposits; Volcanic rocks; Zinc; Zinc sulfide; Gold deposits; base metal; copper; emplacement; epithermal deposit; geochemistry; gold; lead; massive sulfide; mineralization; mineralogy; precious metal; seafloor; silver; telluride; volcanic rock; zinc; Greece; Hellenic Arc; Mediterranean Sea; Milos [Southern Aegean]; Southern Aegean,Article,Scopus,Milos,36.6667,24.5167,32,Hydrothermal Vents,Greece,,Aegean Arc,environmental,,,,,
Aliani S. and Bortoluzzi G. and Caramanna G. and Raffa F.,"Seawater dynamics and environmental settings after November 2002 gas eruption off Bottaro (Panarea, Aeolian Islands, Mediterranean Sea)",2010,Continental Shelf Research,10.1016/j.csr.2010.04.016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955550137&doi=10.1016%2fj.csr.2010.04.016&partnerID=40&md5=f2516c9f9b794601dba1023071c5c434,"In November 2002 several gas bursts occurred at sea in the caldera within the islets eastward of Panarea (Aeolian Islands), with degassing of CO2 lasting several months. In a depression close to Bottaro Islet (PEG1) the gas flowed violently from the depth of ~14m to the surface producing a large plume of gas and fluids. The aims of this paper are to report on the morphological modifications, the water and gas fluxes, and the water dynamics and hydrological properties near the PEG1 site. Bathymetric surveys up to 2006 and divers' observations up to 2008 revealed that the sinkhole had been partially filled by sediments transported by currents or sliding from the rims. Depth reduced to ~12m and the shape of the depression was becoming similar to the others in the area, suggesting that explosive gas eruptions may have occurred in the past. The gas outflow generated a bubble plume that locally affected the water circulation. Different patterns in the dynamics of the water column were described using rotor current meters, ADCP, ROV and divers' observations, and high-resolution bathymetry. A divergence about 1m thick was generated by a surface vortex visible in December 2002 that was not found in September 2003 with reduced gas flow. A sub-surficial layer down to ~1-2m above bottom showed varying speed and directions possibly correlated to tides. A bottom layer of water ~1m thick flowed continuously toward the crater during both surveys. On the nearby sandy bottoms, sand dunes and 2/4mm size volcanoclastic gravels rolling toward the emitting area were found. The fluxes of water entering at the seafloor were calculated by current velocities, height of the bottom layer, and area of the degassing vent. The input water fluxes were found to be 4.2 and 0.2×108l/d, for December 2002 and September 2003. The total vertical output flux was also estimated; considering bubble sizes and voids, gas fluxes were 2.6 and 0.3×108l/d. These values are similar to the fluxes calculated by geochemical and gas sampling methods. CTD data from summer 2003 and spring 2004 recorded pH anomalies with values as low as 6.3 located on main emissions. The low pH water was also distributed laterally for dozens of meters on the bottom, depicting plumes and bottom layers of altered seawater over remarkable distances. The gas burst generated a plume similar to what is described for double core bubble plumes, where the velocity of seawater entering the system is proportional to the vertical gas flux. A new perspective to monitor vent activity is envisaged, and since measuring seawater is easier than measuring gas fluxes, a continuous and real time monitoring of hydrothermal activity could be designed. © 2010 Elsevier Ltd.",Aeolian Islands; Bubble plumes; Gas eruption; Panarea; Seafloor morphology; Shallow water vents,bathymetric survey; caldera; carbon dioxide; current velocity; degassing; explosive volcanism; gas flow; hydrothermal activity; outflow; pH; plume; real time; seafloor; seawater; sediment transport; sinkhole; sliding; submarine volcano; venting; volcaniclastic deposit; water column; water flow; Italy; Lipari Islands; Mediterranean Sea; Messina [Sicily]; Panarea; Sicily,Article,Scopus,Panarea,38.6583,15.1,23,Hydrothermal Vents,Italy,,Aeolian Arc,environmental,,,,,
Allen S.R.,"Reconstruction of a major caldera-forming eruption from pyroclastic deposit characteristics: Kos Plateau Tuff, eastern Aegean Sea",2001,Journal of Volcanology and Geothermal Research,10.1016/S0377-0273(00)00222-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035103355&doi=10.1016%2fS0377-0273%2800%2900222-5&partnerID=40&md5=fab2a8a9f6833f0137466757bac81d3d,"The 161 ka explosive eruption of the Kos Plateau Tuff (KPT) ejected a minimum of 60 km3 of rhyolitic magma, a minor amount of andesitic magma and incorporated more than 3 km3 of vent- and conduit-derived lithic debris. The source formed a caldera south of Kos, in the Aegean Sea, Greece. Textural and lithofacies characteristics of the KPT units are used to infer eruption dynamics and magma chamber processes, including the timing for the onset of catastrophic caldera collapse. The KPT consists of six units: (A) phreatoplinian fallout at the base; (B, C) stratified pyroclastic-density-current deposits; (D, E) volumetrically dominant, massive, non-welded ignimbrites; and (F) stratified pyroclastic-density-current deposits and ash fallout at the top. The ignimbrite units show increases in mass, grain size, abundance of vent- and conduit-derived lithic clasts, and runout of the pyroclastic density currents from source. Ignimbrite formation also corresponds to a change from phreato-magmatic to dry explosive activity. Textural and lithofacies characteristics of the KPT imply that the mass flux (i.e. eruption intensity) increased to the climax when major caldera collapse was initiated and the most voluminous, widespread, lithic-rich and coarsest ignimbrite was produced, followed by a waning period. During the eruption climax, deep basement lithic clasts were ejected, along with andesitic pumice and variably melted and vesiculated co-magmatic granitoid clasts from the magma chamber. Stratigraphic variations in pumice vesicularity and crystal content, provide evidence for variations in the distribution of crystal components and a subsidiary andesitic magma within the KPT magma chamber. The eruption climax culminated in tapping more coarsely crystal-rich magma. Increases in mass flux during the waxing phase is consistent with theoretical models for moderate-volume explosive eruptions that lead to caldera collapse. Published by Elsevier Science B.V.",Caldera; Eruption dynamics; Eruption intensity; Kos Plateau Tuff; Magma chamber; Rhyolite; Stratigraphy; Textural characteristics,caldera; pyroclastic deposit; stratigraphy; volcanic eruption; Mediterranean Sea,Article,Scopus,Kos,36.85,27.25,4,Volcanic Area,Greece,,Aegean Arc,environmental,,,,,
